COD_CLIENTE;COD_PEDIDO;CODIGO_PRODUTO;DEPTO;QUANTIDADE;VALOR_UNITARIO;QTD_PARCELAS;DT_PEDIDO;MEIO_PAGTO;STATUS_PAGAMENTO
1098;1250;0;AUDIO;4;114.08;1;15/02/2019;A VISTA;CANCELADO
1098;1250;0;INFORMATICA;4;1098.00;2;15/02/2019;A VISTA;CANCELADO
52;1251;0;INFORMATICA;4;1098.00;2;08/02/2019;DINHEIRO;CANCELADO
52;1251;0;BELEZA;4;114.08;1;08/02/2019;DINHEIRO;CANCELADO
1161;1252;0;AUDIO;4;2405.00;1;03/01/2019;DINHEIRO;CANCELADO
1161;1252;0;ACESSORIOS;4;242.64;1;03/01/2019;DINHEIRO;CANCELADO
1161;1253;0;AUDIO;4;2405.00;1;03/01/2019;DINHEIRO;CANCELADO
1161;1253;0;BELEZA;4;242.64;1;03/01/2019;DINHEIRO;CANCELADO
22;1258;0;AUDIO;4;1460.00;2;08/02/2019;A VISTA;CANCELADO
22;1258;0;AUDIO;4;146.00;1;08/02/2019;A VISTA;CANCELADO
52;1259;0;AUDIO;4;5524.00;4;21/07/2019;A VISTA;CANCELADO
52;1259;0;AUDIO;4;560.96;1;21/07/2019;A VISTA;CANCELADO
1164;1262;0;INFORMATICA;4;2824.00;6;17/01/2019;DINHEIRO;CANCELADO
1164;1262;0;INFORMATICA;4;295.24;1;17/01/2019;DINHEIRO;CANCELADO
69;1265;0;AUDIO;4;102.96;1;11/02/2019;A VISTA;CANCELADO
69;1265;0;AUDIO;4;944.00;4;11/02/2019;A VISTA;CANCELADO
1166;1267;0;AUDIO;4;3212.00;2;10/05/2019;DINHEIRO;CANCELADO
1166;1267;0;AUDIO;4;321.20;1;10/05/2019;DINHEIRO;CANCELADO
22;1270;0;AUDIO;4;99.68;1;20/03/2019;A VISTA;CANCELADO
22;1270;0;AUDIO;4;954.00;2;20/03/2019;A VISTA;CANCELADO
1098;1271;0;INFORMATICA;4;106.88;1;09/02/2019;A VISTA;CANCELADO
1098;1271;0;INFORMATICA;4;1026.00;2;09/02/2019;A VISTA;CANCELADO
1098;1274;0;TELEFONIA;4;1908.00;4;19/05/2019;A VISTA;CANCELADO
1098;1274;0;ELETRO;4;199.36;1;19/05/2019;A VISTA;CANCELADO
22;1275;0;AUDIO;4;1098.00;2;29/03/2019;A VISTA;CANCELADO
22;1275;0;INFORMATICA;4;114.08;1;29/03/2019;A VISTA;CANCELADO
1167;1276;0;BELEZA;4;7104.00;5;13/02/2019;DINHEIRO;CANCELADO
1167;1276;0;BELEZA;4;710.40;1;13/02/2019;DINHEIRO;CANCELADO
1170;1279;0;INFORMATICA;4;2096.00;2;17/02/2019;DINHEIRO;CANCELADO
1170;1279;0;INFORMATICA;4;209.60;1;17/02/2019;DINHEIRO;CANCELADO
1098;1280;0;TELEFONIA;4;256.16;1;03/03/2019;CC;CANCELADO
1098;1280;0;AUDIO;4;2476.00;4;03/03/2019;CC;CANCELADO
1171;1281;0;AUDIO;4;167.04;1;04/01/2019;DINHEIRO;CANCELADO
1171;1281;0;UTILIDADES;4;1649.00;1;04/01/2019;DINHEIRO;CANCELADO
1173;1285;0;AUDIO;4;1388.00;4;20/01/2019;DINHEIRO;CANCELADO
1173;1285;0;INFORMATICA;4;944.00;4;20/01/2019;DINHEIRO;CANCELADO
1173;1285;0;UTILIDADES;4;250.32;1;20/01/2019;DINHEIRO;CANCELADO
1098;1290;0;TELEFONIA;4;398.72;1;18/08/2019;DINHEIRO;CANCELADO
1098;1290;0;INFORMATICA;4;3816.00;4;18/08/2019;DINHEIRO;CANCELADO
61330;1293;0;INFORMATICA;4;592.00;2;08/05/2019;CC;CANCELADO
61330;1293;0;INFORMATICA;4;63.48;1;08/05/2019;CC;CANCELADO
60452;1294;0;TELEFONIA;4;307.04;1;24/01/2019;CC;CANCELADO
60452;1294;0;INFORMATICA;4;2942.00;3;24/01/2019;CC;CANCELADO
1178;1295;0;INFORMATICA;4;39.34;1;03/02/2019;DINHEIRO;CANCELADO
1178;1295;0;LIVROS;4;372.00;1;03/02/2019;DINHEIRO;CANCELADO
1098;1299;0;AUDIO;4;1450.00;2;12/04/2019;A VISTA;CANCELADO
1098;1299;0;AUDIO;4;149.28;1;12/04/2019;A VISTA;CANCELADO
1167;1496;0;AUDIO;4;5667.00;5;13/02/2019;DINHEIRO;CANCELADO
1167;1496;0;AUDIO;4;566.70;1;13/02/2019;DINHEIRO;CANCELADO
1746;1498;0;INFORMATICA;4;119.56;1;14/03/2019;CC;CANCELADO
1746;1498;0;UTILIDADES;4;1110.00;4;14/03/2019;CC;CANCELADO
61336;1505;0;AUDIO;4;2040.00;3;02/03/2019;CC;CANCELADO
61336;1505;0;AUDIO;4;584.64;1;02/03/2019;CC;CANCELADO
61336;1505;0;AUDIO;4;3678.00;3;02/03/2019;CC;CANCELADO
60452;1506;0;BELEZA;4;307.04;1;24/01/2019;CC;CANCELADO
60452;1506;0;BELEZA;4;2942.00;3;24/01/2019;CC;CANCELADO
100743;1513;0;INFORMATICA;3;3152.00;4;02/03/2019;A VISTA;CANCELADO
100743;1513;0;INFORMATICA;3;315.20;1;02/03/2019;A VISTA;CANCELADO
1756;1515;0;INFORMATICA;4;52.04;1;05/01/2019;CC;CANCELADO
1756;1515;0;INFORMATICA;4;499.00;1;05/01/2019;CC;CANCELADO
1756;1516;0;INFORMATICA;4;499.00;1;05/01/2019;CC;CANCELADO
1756;1516;0;INFORMATICA;4;52.04;1;05/01/2019;CC;CANCELADO
1758;1518;0;INFORMATICA;4;1844.00;5;14/01/2019;CC;CANCELADO
1758;1518;0;ACESSORIOS;4;195.10;1;14/01/2019;CC;CANCELADO
150394;1523;0;ELETRODOMESTICO;12;234.46;1;07/08/2019;BOLETO;CANCELADO
150394;1523;0;UTILIDADES;12;2259.00;4;07/08/2019;BOLETO;CANCELADO
1744;1537;0;INFORMATICA;4;10.70;5;06/12/2018;CC;CANCELADO
1744;1537;0;UTILIDADES;4;3236.00;5;06/12/2018;CC;CANCELADO
1744;1537;0;UTILIDADES;4;323.60;5;06/12/2018;CC;CANCELADO
1348;1538;0;AUDIO;4;160.00;4;21/12/2018;DINHEIRO;CANCELADO
1348;1538;0;INFORMATICA;4;2925.00;4;21/12/2018;DINHEIRO;CANCELADO
1348;1538;0;INFORMATICA;4;8.56;20;21/12/2018;DINHEIRO;CANCELADO
1348;1538;0;ELETRO;4;292.48;36;21/12/2018;DINHEIRO;CANCELADO
1351;1539;0;INFORMATICA;4;4.28;2;14/12/2018;DINHEIRO;CANCELADO
1351;1539;0;INFORMATICA;4;1083.00;2;14/12/2018;DINHEIRO;CANCELADO
1351;1539;0;INFORMATICA;4;108.30;2;14/12/2018;DINHEIRO;CANCELADO
1351;1539;0;LIVROS;4;32.00;1;14/12/2018;DINHEIRO;CANCELADO
1351;1539;0;LIVROS;4;3.20;1;14/12/2018;DINHEIRO;CANCELADO
1352;1540;0;INFORMATICA;4;4.28;2;14/12/2018;DINHEIRO;CANCELADO
1352;1540;0;INFORMATICA;4;1083.00;2;14/12/2018;DINHEIRO;CANCELADO
1352;1540;0;INFORMATICA;4;108.30;2;14/12/2018;DINHEIRO;CANCELADO
1355;1541;0;AUDIO;4;8.56;4;26/12/2018;DINHEIRO;CANCELADO
1355;1541;0;AUDIO;4;3394.00;4;26/12/2018;DINHEIRO;CANCELADO
1355;1541;0;AUDIO;4;339.40;4;26/12/2018;DINHEIRO;CANCELADO
1385;1542;0;AUDIO;4;1185.00;3;19/12/2018;DINHEIRO;CANCELADO
1385;1542;0;AUDIO;4;118.50;3;19/12/2018;DINHEIRO;CANCELADO
1385;1542;0;AUDIO;4;5079.21;7;19/12/2018;DINHEIRO;CANCELADO
1385;1542;0;INFORMATICA;4;507.93;7;19/12/2018;DINHEIRO;CANCELADO
1385;1542;0;LIVROS;4;14.98;1;19/12/2018;DINHEIRO;CANCELADO
1387;1543;0;INFORMATICA;4;175.00;1;29/12/2018;DINHEIRO;CANCELADO
1387;1543;0;INFORMATICA;4;3363.75;3;29/12/2018;DINHEIRO;CANCELADO
1387;1543;0;INFORMATICA;4;336.36;3;29/12/2018;DINHEIRO;CANCELADO
1387;1543;0;INFORMATICA;4;6.42;3;29/12/2018;DINHEIRO;CANCELADO
1389;1544;0;TELEFONIA;4;181.00;1;14/12/2018;DINHEIRO;CANCELADO
1389;1544;0;TELEFONIA;4;18.10;1;14/12/2018;DINHEIRO;CANCELADO
1389;1544;0;AUDIO;4;1833.00;2;14/12/2018;DINHEIRO;CANCELADO
1389;1544;0;AUDIO;4;183.30;2;14/12/2018;DINHEIRO;CANCELADO
1389;1544;0;AUDIO;4;4.28;2;14/12/2018;DINHEIRO;CANCELADO
1389;1544;0;INFORMATICA;4;80.00;2;14/12/2018;DINHEIRO;CANCELADO
1391;1545;0;AUDIO;4;96.00;1;22/12/2018;DINHEIRO;CANCELADO
1391;1545;0;AUDIO;4;9.60;1;22/12/2018;DINHEIRO;CANCELADO
1391;1545;0;AUDIO;4;421.60;4;22/12/2018;DINHEIRO;CANCELADO
1391;1545;0;INFORMATICA;4;4215.92;4;22/12/2018;DINHEIRO;CANCELADO
1391;1545;0;BELEZA;4;8.56;4;22/12/2018;DINHEIRO;CANCELADO
1391;1545;0;UTILIDADES;4;160.00;4;22/12/2018;DINHEIRO;CANCELADO
1393;1547;0;DECORACAO;2;494.00;14;23/12/2018;DINHEIRO;CANCELADO
1393;1547;0;TELEFONIA;4;648.37;9;23/12/2018;DINHEIRO;CANCELADO
1393;1547;0;AUDIO;4;6483.65;9;23/12/2018;DINHEIRO;CANCELADO
1393;1547;0;DECORACAO;4;49.40;7;23/12/2018;DINHEIRO;CANCELADO
1512;1548;0;AUDIO;4;2.14;1;08/12/2018;CC;CANCELADO
1512;1548;0;INFORMATICA;4;40.00;1;08/12/2018;CC;CANCELADO
1512;1548;0;INFORMATICA;4;916.00;1;08/12/2018;CC;CANCELADO
1512;1548;0;INFORMATICA;4;91.60;1;08/12/2018;CC;CANCELADO
1512;1548;0;BELEZA;4;38.00;1;08/12/2018;CC;CANCELADO
1512;1548;0;BELEZA;4;3.80;1;08/12/2018;CC;CANCELADO
1395;1549;0;INFORMATICA;2;152.90;4;30/12/2018;DINHEIRO;CANCELADO
1395;1549;0;INFORMATICA;2;256.80;10;30/12/2018;DINHEIRO;CANCELADO
1395;1549;0;BELEZA;2;454.00;4;30/12/2018;DINHEIRO;CANCELADO
1395;1549;0;AUDIO;4;1528.98;2;30/12/2018;DINHEIRO;CANCELADO
1395;1549;0;INFORMATICA;4;2127.94;4;30/12/2018;DINHEIRO;CANCELADO
1395;1549;0;INFORMATICA;4;440.00;1;30/12/2018;DINHEIRO;CANCELADO
1395;1549;0;BELEZA;4;45.40;2;30/12/2018;DINHEIRO;CANCELADO
1399;1550;0;AUDIO;4;4.28;4;14/12/2018;DINHEIRO;CANCELADO
1399;1550;0;INFORMATICA;4;392.00;1;14/12/2018;A VISTA;CANCELADO
1399;1550;0;INFORMATICA;4;39.20;1;14/12/2018;A VISTA;CANCELADO
1399;1550;0;DECORACAO;4;80.00;4;14/12/2018;A VISTA;CANCELADO
1399;1550;0;UTILIDADES;4;3052.00;2;14/12/2018;A VISTA;CANCELADO
1399;1550;0;UTILIDADES;4;305.20;2;14/12/2018;A VISTA;CANCELADO
1400;1551;0;AUDIO;4;0.04;2;06/12/2018;A VISTA;CANCELADO
1400;1551;0;AUDIO;4;2486.56;4;06/12/2018;A VISTA;CANCELADO
1400;1551;0;INFORMATICA;4;248.64;4;06/12/2018;A VISTA;CANCELADO
1401;1552;0;TELEFONIA;4;17.12;8;06/12/2018;A VISTA;CANCELADO
1401;1552;0;AUDIO;4;69.30;1;06/12/2018;A VISTA;CANCELADO
1401;1552;0;INFORMATICA;4;248.64;4;06/12/2018;A VISTA;CANCELADO
1401;1552;0;INFORMATICA;4;2486.56;4;06/12/2018;A VISTA;CANCELADO
1404;1553;0;INFORMATICA;4;2.14;1;19/12/2018;A VISTA;CANCELADO
1404;1553;0;INFORMATICA;4;305.00;1;19/12/2018;A VISTA;CANCELADO
1404;1553;0;INFORMATICA;4;30.50;1;19/12/2018;A VISTA;CANCELADO
1404;1553;0;MODA;4;40.00;1;19/12/2018;A VISTA;CANCELADO
1404;1553;0;ACESSORIOS;4;1222.00;1;19/12/2018;A VISTA;CANCELADO
1404;1553;0;ACESSORIOS;4;122.20;1;19/12/2018;A VISTA;CANCELADO
1406;1554;0;TELEFONIA;4;266.12;4;24/12/2018;A VISTA;CANCELADO
1406;1554;0;AUDIO;4;760.00;1;24/12/2018;A VISTA;CANCELADO
1406;1554;0;AUDIO;4;76.00;1;24/12/2018;A VISTA;CANCELADO
1406;1554;0;INFORMATICA;4;2661.18;4;24/12/2018;A VISTA;CANCELADO
1406;1554;0;UTILIDADES;4;8.56;4;24/12/2018;A VISTA;CANCELADO
1407;1555;0;INFORMATICA;4;120.00;3;23/12/2018;A VISTA;CANCELADO
1407;1555;0;INFORMATICA;4;3363.75;3;23/12/2018;A VISTA;CANCELADO
1407;1555;0;INFORMATICA;4;336.36;3;23/12/2018;A VISTA;CANCELADO
1407;1555;0;ACESSORIOS;4;6.42;3;23/12/2018;A VISTA;CANCELADO
1407;1555;0;UTILIDADES;4;253.00;2;23/12/2018;A VISTA;CANCELADO
1407;1555;0;UTILIDADES;4;25.30;2;23/12/2018;A VISTA;CANCELADO
1410;1556;0;AUDIO;4;10.70;5;07/12/2018;A VISTA;CANCELADO
